(`id`, `poke_id`, `alt_id`, `poke_name`, `alter_poke_name`, `scyther_name`, `pokeapi_id`, `hp`, `attack`, `defense`, `spatk`, `spdef`, `speed`, `male`, `female`, `genderless`, `type_1`, `type_2`, `ability_1`, `ability_2`, `hidden_ability`, `classification`, `height`, `weight`, `capture_rate`, `base_egg_steps`, `base_happiness`, `ev`, `egg_group_1`, `egg_group_2`, `female_spec_sprite`, `female_spec_icon`, `platform`, `evo_level`, `canon`) VALUES
(1, 1, 0, 'Bulbasaur', '', 'Bulbasaur ', '', 45, 49, 49, 65, 65, 45, 88, 12, 0, 'Grass', 'Poison', 'Overgrow', 'None', 'Chlorophyll', 'Seed', '7', '69', 45, '5355', 70, '0,0,0,1,0,0', 'Plant', 'Monster', NULL, NULL, 20, 16, 'canon'),
(12, 9, 1, 'Blastoise', '(Mega)', 'Blastoise (Mega)', '', 79, 103, 120, 135, 115, 78, 87, 13, 0, 'Water', 'None', 'Mega Launcher', 'None', 'None', 'Shellfish', '16', '1011', 45, '5355', 70, '0,0,0,0,3,0', 'Water1', 'Monster', NULL, NULL, -14, 0, 'canon'),
(13, 9, 0, 'Blastoise', '', 'Blastoise ', '', 79, 83, 100, 85, 105, 78, 88, 12, 0, 'Water', 'None', 'Torrent', 'None', 'Rain Dish', 'Shellfish', '16', '855', 45, '5355', 70, '0,0,0,0,3,0', 'Water1', 'Monster', NULL, NULL, 3, 0, 'canon'),
(14, 10, 0, 'Caterpie', '', 'Caterpie ', '', 45, 30, 35, 20, 20, 45, 50, 50, 0, 'Bug', 'None', 'Shield Dust', 'None', 'Run Away', 'Worm', '3', '29', 255, '4080', 70, '1,0,0,0,0,0', 'Bug', 'None', NULL, NULL, 15, 7, 'canon'),
(15, 11, 0, 'Metapod', '', 'Metapod ', '', 50, 20, 55, 25, 25, 30, 50, 50, 0, 'Bug', 'None', 'Shed Skin', 'None', 'None', 'Cocoon', '7', '99', 120, '4080', 70, '0,0,2,0,0,0', 'Bug', 'None', NULL, NULL, 17, 10, 'canon'),
(16, 12, 0, 'Butterfree', '', 'Butterfree ', '', 60, 45, 50, 90, 80, 70, 50, 50, 0, 'Bug', 'Flying', 'Compoundeyes', 'None', 'Tinted Lens', 'Butterfly', '11', '320', 45, '4080', 70, '0,0,0,2,1,0', 'Bug', 'None', NULL, NULL, 10, 0, 'canon'),
(17, 13, 0, 'Weedle', '', 'Weedle ', '', 40, 35, 30, 20, 20, 50, 50, 50, 0, 'Bug', 'Poison', 'Shield Dust', 'None', 'Run Away', 'Hairy Bug', '3', '32', 255, '4080', 70, '0,0,0,0,0,1', 'Bug', 'None', NULL, NULL, 16, 7, 'canon'),
(18, 14, 0, 'Kakuna', '', 'Kakuna ', '', 45, 25, 50, 25, 25, 35, 50, 50, 0, 'Bug', 'Poison', 'Shed Skin', 'None', 'None', 'Cocoon', '6', '100', 120, '4080', 70, '0,0,2,0,0,0', 'Bug', 'None', NULL, NULL, 15, 10, 'canon'),
(19, 15, 1, 'Beedrill', '(Mega)', 'Beedrill (Mega)', '', 65, 150, 40, 15, 80, 145, 50, 50, 0, 'Bug', 'Poison', 'Adaptability', 'None', 'None', 'Poison Bee', '14', '405', 45, '4080', 70, '0,2,0,0,1,0', 'Bug', 'None', NULL, NULL, -14, 0, 'canon'),
(20, 15, 0, 'Beedrill', '', 'Beedrill ', '', 65, 90, 40, 45, 80, 75, 50, 50, 0, 'Bug', 'Poison', 'Swarm', 'None', 'Sniper', 'Poison Bee', '10', '295', 45, '4080', 70, '0,2,0,0,1,0', 'Bug', 'None', NULL, NULL, 5, 0, 'canon'),
(21, 16, 0, 'Pidgey', '', 'Pidgey ', '', 40, 45, 40, 35, 35, 56, 50, 50, 0, 'Normal', 'Flying', 'Keen Eye', 'Tangled Feet', 'Big Pecks', 'Tiny Bird', '3', '18', 255, '4080', 70, '0,0,0,0,0,1', 'Flying', 'None', NULL, NULL, 15, 18, 'canon'),
(22, 17, 0, 'Pidgeotto', '', 'Pidgeotto ', '', 63, 60, 55, 50, 50, 71, 50, 50, 0, 'Normal', 'Flying', 'Keen Eye', 'Tangled Feet', 'Big Pecks', 'Bird', '11', '300', 120, '4080', 70, '0,0,0,0,0,2', 'Flying', 'None', NULL, NULL, -2, 36, 'canon'),
(23, 18, 1, 'Pidgeot', '(Mega)', 'Pidgeot (Mega)', '', 83, 80, 80, 135, 80, 121, 50, 50, 0, 'Normal', 'Flying', 'No Guard', 'None', 'None', 'Bird', '22', '505', 45, '4080', 70, '0,0,0,0,0,3', 'Flying', 'None', NULL, NULL, -14, 0, 'canon'),
(24, 18, 0, 'Pidgeot', '', 'Pidgeot ', '', 83, 80, 75, 70, 70, 101, 50, 50, 0, 'Normal', 'Flying', 'Keen Eye', 'Tangled Feet', 'Big Pecks', 'Bird', '15', '395', 45, '4080', 70, '0,0,0,0,0,3', 'Flying', 'None', NULL, NULL, 1, 0, 'canon'),
(25, 19, 1, 'Rattata', '(Alola)', 'Rattata (Alola)', '', 30, 56, 35, 25, 35, 72, 50, 50, 0, 'Dark', 'Normal', 'Gluttony', 'Hustle', 'None', 'Mouse', '3', '38', 255, '4080', 70, '0,0,0,0,0,1', 'Ground', 'None', NULL, NULL, -14, 20, 'canon'),
(26, 19, 0, 'Rattata', '', 'Rattata ', '', 30, 56, 35, 25, 35, 72, 50, 50, 0, 'Normal', 'None', 'Run Away', 'Guts', 'Hustle', 'Mouse', '3', '35', 255, '4080', 70, '0,0,0,0,0,1', 'Ground', 'None', NULL, NULL, 18, 20, 'canon'),
(27, 20, 1, 'Raticate', '(Alola)', 'Raticate (Alola)', '', 75, 71, 70, 40, 80, 77, 50, 50, 0, 'Dark', 'Normal', 'Gluttony', 'Hustle', 'None', 'Mouse', '7', '255', 127, '4080', 70, '0,0,0,0,0,2', 'Ground', 'None', NULL, NULL, -14, 0, 'canon'),
(28, 20, 0, 'Raticate', '', 'Raticate ', '', 55, 81, 60, 50, 70, 97, 50, 50, 0, 'Normal', 'None', 'Run Away', 'Guts', 'Hustle', 'Mouse', '7', '185', 127, '4080', 70, '0,0,0,0,0,2', 'Ground', 'None', NULL, NULL, 10, 0, 'canon'),
(29, 21, 0, 'Spearow', '', 'Spearow ', '', 40, 60, 30, 31, 31, 70, 50, 50, 0, 'Normal', 'Flying', 'Keen Eye', 'None', 'Sniper', 'Tiny Bird', '3', '20', 255, '4080', 70, '0,0,0,0,0,1', 'Flying', 'None', NULL, NULL, 17, 20, 'canon'),
(30, 22, 0, 'Fearow', '', 'Fearow ', '', 65, 90, 65, 61, 61, 100, 50, 50, 0, 'Normal', 'Flying', 'Keen Eye', 'None', 'Sniper', 'Beak', '12', '380', 90, '4080', 70, '0,0,0,0,0,2', 'Flying', 'None', NULL, NULL, 3, 0, 'canon'),
(31, 23, 0, 'Ekans', '', 'Ekans ', '', 35, 60, 44, 40, 54, 55, 50, 50, 0, 'Poison', 'None', 'Intimidate', 'Shed Skin', 'Unnerve', 'Snake', '20', '69', 255, '5355', 70, '0,1,0,0,0,0', 'Dragon', 'Ground', NULL, NULL, 14, 22, 'canon'),
(32, 24, 0, 'Arbok', '', 'Arbok ', '', 60, 95, 69, 65, 79, 80, 50, 50, 0, 'Poison', 'None', 'Intimidate', 'Shed Skin', 'Unnerve', 'Cobra', '35', '650', 90, '5355', 70, '0,2,0,0,0,0', 'Dragon', 'Ground', NULL, NULL, 4, 0, 'canon'),
(33, 25, 0, 'Pikachu', '', 'Pikachu ', '', 35, 55, 40, 50, 50, 90, 50, 50, 0, 'Electric', 'None', 'Static', 'None', 'Lightningrod', 'Mouse', '4', '60', 190, '2805', 70, '0,0,0,0,0,2', 'Fairy', 'Ground', NULL, NULL, 13, 0, 'canon'),
(34, 26, 1, 'Raichu', '(Alola)', 'Raichu (Alola)', '', 60, 85, 50, 95, 85, 110, 50, 50, 0, 'Electric', 'Psychic', 'Surge Surfer', 'None', 'None', 'Mouse', '7', '210', 75, '2805', 70, '0,0,0,0,0,3', 'Fairy', 'Ground', NULL, NULL, -14, 0, 'canon'),
(35, 26, 0, 'Raichu', '', 'Raichu ', '', 60, 90, 55, 90, 80, 110, 50, 50, 0, 'Electric', 'None', 'Static', 'None', 'Lightningrod', 'Mouse', '8', '300', 75, '2805', 70, '0,0,0,0,0,3', 'Fairy', 'Ground', NULL, NULL, 6, 0, 'canon'),
(36, 27, 1, 'Sandshrew', '(Alola)', 'Sandshrew (Alola)', '', 50, 75, 90, 10, 35, 40, 50, 50, 0, 'Ice', 'Steel', 'Snow Cloak', 'None', 'None', 'Mouse', '7', '400', 255, '5355', 70, '0,0,1,0,0,0', 'Ground', 'None', NULL, NULL, -14, 0, 'canon'),
(37, 27, 0, 'Sandshrew', '', 'Sandshrew ', '', 50, 75, 85, 20, 30, 40, 50, 50, 0, 'Ground', 'None', 'Sand Veil', 'None', 'Sand Throw', 'Mouse', '6', '120', 255, '5355', 70, '0,0,1,0,0,0', 'Ground', 'None', NULL, NULL, 17, 22, 'canon'),
(38, 28, 1, 'Sandslash', '(Alola)', 'Sandslash (Alola)', '', 75, 100, 120, 25, 65, 65, 50, 50, 0, 'Ice', 'Steel', 'Snow Cloak', 'None', 'None', 'Mouse', '12', '550', 90, '5355', 70, '0,0,2,0,0,0', 'Ground', 'None', NULL, NULL, 8, 0, 'canon'),
(39, 28, 0, 'Sandslash', '', 'Sandslash ', '', 75, 100, 110, 45, 55, 65, 50, 50, 0, 'Ground', 'None', 'Sand Veil', 'None', 'Sand Throw', 'Mouse', '10', '295', 90, '5355', 70, '0,0,2,0,0,0', 'Ground', 'None', NULL, NULL, 12, 0, 'canon'),
(40, 29, 0, 'Nidoran&#9792;', '', 'Nidoran&#9792; ', '', 55, 47, 52, 40, 40, 41, 0, 100, 0, 'Poison', 'None', 'Poison Point', 'Rivalry', 'Hustle', 'Poison Pin', '4', '70', 235, '5355', 70, '1,0,0,0,0,0', 'Ground', 'Monster', NULL, NULL, 15, 16, 'canon'),
(41, 30, 0, 'Nidorina', '', 'Nidorina ', '', 70, 62, 67, 55, 55, 56, 0, 100, 0, 'Poison', 'None', 'Poison Point', 'Rivalry', 'Hustle', 'Poison Pin', '8', '200', 120, '5355', 70, '2,0,0,0,0,0', 'No-eggs', 'None', NULL, NULL, 16, 0, 'canon'),
(42, 31, 0, 'Nidoqueen', '', 'Nidoqueen ', '', 90, 92, 87, 75, 85, 76, 0, 100, 0, 'Poison', 'Ground', 'Poison Point', 'Rivalry', 'Sheer Force', 'Drill', '13', '600', 45, '5355', 70, '3,0,0,0,0,0', 'No-eggs', 'None', NULL, NULL, 1, 0, 'canon'),
(43, 32, 0, 'Nidoran&#9794;', '', 'Nidoran&#9794; ', '', 46, 57, 40, 40, 40, 50, 100, 0, 0, 'Poison', 'None', 'Poison Point', 'Rivalry', 'Hustle', 'Poison Pin', '5', '90', 235, '5355', 70, '0,1,0,0,0,0', 'Ground', 'Monster', NULL, NULL, 19, 16, 'canon'),
(44, 33, 0, 'Nidorino', '', 'Nidorino ', '', 61, 72, 57, 55, 55, 65, 100, 0, 0, 'Poison', 'None', 'Poison Point', 'Rivalry', 'Hustle', 'Poison Pin', '9', '195', 120, '5355', 70, '0,2,0,0,0,0', 'Ground', 'Monster', NULL, NULL, 12, 0, 'canon'),
(45, 34, 0, 'Nidoking', '', 'Nidoking ', '', 81, 102, 77, 85, 75, 85, 100, 0, 0, 'Poison', 'Ground', 'Poison Point', 'Rivalry', 'Sheer Force', 'Drill', '14', '620', 45, '5355', 70, '0,3,0,0,0,0', 'Ground', 'Monster', NULL, NULL, -1, 0, 'canon'),
(46, 35, 0, 'Clefairy', '', 'Clefairy ', '', 70, 45, 48, 60, 65, 35, 25, 75, 0, 'Fairy', 'None', 'Cute Charm', 'Magic Guard', 'Friend Guard', 'Fairy', '6', '75', 150, '2805', 140, '2,0,0,0,0,0', 'Fairy', 'None', NULL, NULL, 13, 0, 'canon'),
(47, 36, 0, 'Clefable', '', 'Clefable ', '', 95, 70, 73, 95, 90, 60, 25, 75, 0, 'Fairy', 'None', 'Cute Charm', 'Magic Guard', 'Unaware', 'Fairy', '13', '400', 25, '2805', 140, '3,0,0,0,0,0', 'Fairy', 'None', NULL, NULL, 7, 0, 'canon'),
(48, 37, 1, 'Vulpix', '(Alola)', 'Vulpix (Alola)', '', 38, 41, 40, 50, 65, 65, 25, 75, 0, 'Ice', 'None', 'Snow Cloak', 'None', 'None', 'Fox', '6', '99', 190, '5355', 70, '0,0,0,0,0,1', 'Ground', 'None', NULL, NULL, -14, 0, 'canon'),
(49, 37, 0, 'Vulpix', '', 'Vulpix ', '', 38, 41, 40, 50, 65, 65, 25, 75, 0, 'Fire', 'None', 'Flash Fire', 'None', 'Drought', 'Fox', '6', '99', 190, '5355', 70, '0,0,0,0,0,1', 'Ground', 'None', NULL, NULL, 9, 0, 'canon'),
(50, 38, 1, 'Ninetales', '(Alola)', 'Ninetales (Alola)', '', 73, 67, 75, 81, 100, 109, 25, 75, 0, 'Ice', 'Fairy', 'Snow Cloak', 'None', 'None', 'Fox', '11', '199', 75, '5355', 70, '0,0,0,0,0,2', 'Ground', 'None', NULL, NULL, -14, 0, 'canon'),
(51, 38, 0, 'Ninetales', '', 'Ninetales ', '', 73, 76, 75, 81, 100, 100, 25, 75, 0, 'Fire', 'None', 'Flash Fire', 'None', 'Drought', 'Fox', '11', '199', 75, '5355', 70, '0,0,0,0,1,1', 'Ground', 'None', NULL, NULL, -1, 0, 'canon'),
(52, 39, 0, 'Jigglypuff', '', 'Jigglypuff ', '', 115, 45, 20, 45, 25, 20, 25, 75, 0, 'Normal', 'Fairy', 'Cute Charm', 'Competitive', 'Friend Guard', 'Balloon', '5', '55', 170, '2805', 70, '2,0,0,0,0,0', 'Fairy', 'None', NULL, NULL, 18, 0, 'canon'),
(53, 40, 0, 'Wigglytuff', '', 'Wigglytuff ', '', 140, 70, 45, 85, 50, 45, 25, 75, 0, 'Normal', 'Fairy', 'Cute Charm', 'Competitive', 'Frisk', 'Balloon', '10', '120', 50, '2805', 70, '3,0,0,0,0,0', 'Fairy', 'None', NULL, NULL, 7, 0, 'canon'),
(54, 41, 0, 'Zubat', '', 'Zubat ', '', 40, 45, 35, 30, 40, 55, 50, 50, 0, 'Poison', 'Flying', 'Inner Focus', 'None', 'Infiltrator', 'Bat', '8', '75', 255, '4080', 70, '0,0,0,0,0,1', 'Flying', 'None', NULL, NULL, 18, 22, 'canon'),
(55, 42, 0, 'Golbat', '', 'Golbat ', '', 75, 80, 70, 65, 75, 90, 50, 50, 0, 'Poison', 'Flying', 'Inner Focus', 'None', 'Infiltrator', 'Bat', '16', '550', 90, '4080', 70, '0,0,0,0,0,2', 'Flying', 'None', NULL, NULL, 6, 0, 'canon'),
(56, 43, 0, 'Oddish', '', 'Oddish ', '', 45, 50, 55, 75, 65, 30, 50, 50, 0, 'Grass', 'Poison', 'Chlorophyll', 'None', 'Run Away', 'Weed', '5', '54', 255, '5355', 70, '0,0,0,1,0,0', 'Plant', 'None', NULL, NULL, 16, 21, 'canon'),
(57, 44, 0, 'Gloom', '', 'Gloom ', '', 60, 65, 70, 85, 75, 40, 50, 50, 0, 'Grass', 'Poison', 'Chlorophyll', 'None', 'Stench', 'Weed', '8', '86', 120, '5355', 70, '0,0,0,2,0,0', 'Plant', 'None', NULL, NULL, 12, 0, 'canon'),
(58, 45, 0, 'Vileplume', '', 'Vileplume ', '', 75, 80, 85, 110, 90, 50, 50, 50, 0, 'Grass', 'Poison', 'Chlorophyll', 'None', 'Effect Spore', 'Flower', '12', '186', 45, '5355', 70, '0,0,0,3,0,0', 'Plant', 'None', NULL, NULL, 9, 0, 'canon'),
(59, 46, 0, 'Paras', '', 'Paras ', '', 35, 70, 55, 45, 55, 25, 50, 50, 0, 'Bug', 'Grass', 'Effect Spore', 'Dry Skin', 'Damp', 'Mushroom', '3', '54', 190, '5355', 70, '0,1,0,0,0,0', 'Plant', 'Bug', NULL, NULL, 19, 24, 'canon'),
(60, 47, 0, 'Parasect', '', 'Parasect ', '', 60, 95, 80, 60, 80, 30, 50, 50, 0, 'Bug', 'Grass', 'Effect Spore', 'Dry Skin', 'Damp', 'Mushroom', '10', '295', 75, '5355', 70, '0,2,1,0,0,0', 'Plant', 'Bug', NULL, NULL, 6, 0, 'canon'),
(61, 48, 0, 'Venonat', '', 'Venonat ', '', 60, 55, 50, 40, 55, 45, 50, 50, 0, 'Bug', 'Poison', 'Compoundeyes', 'Tinted Lens', 'Run Away', 'Insect', '10', '300', 190, '5355', 70, '0,0,0,0,1,0', 'Bug', 'None', NULL, NULL, 10, 31, 'canon'),
(62, 49, 0, 'Venomoth', '', 'Venomoth ', '', 70, 65, 60, 90, 75, 90, 50, 50, 0, 'Bug', 'Poison', 'Shield Dust', 'Tinted Lens', 'Wonder Skin', 'Poison Moth', '15', '125', 75, '5355', 70, '0,0,0,1,0,1', 'Bug', 'None', NULL, NULL, 9, 0, 'canon'),
(63, 50, 1, 'Diglett', '(Alola)', 'Diglett (Alola)', '', 10, 55, 30, 35, 45, 90, 50, 50, 0, 'Ground', 'Steel', 'Sand Veil', 'Tangling Hair', 'None', 'Mole', '2', '10', 255, '5355', 70, '0,0,0,0,0,1', 'Ground', 'None', NULL, NULL, -14, 26, 'canon'),
(64, 50, 0, 'Diglett', '', 'Diglett ', '', 10, 55, 25, 35, 45, 95, 50, 50, 0, 'Ground', 'None', 'Sand Veil', 'Arena Trap', 'Sand Force', 'Mole', '2', '8', 255, '5355', 70, '0,0,0,0,0,1', 'Ground', 'None', NULL, NULL, 19, 26, 'canon'),
(65, 51, 1, 'Dugtrio', '(Alola)', 'Dugtrio (Alola)', '', 35, 100, 60, 50, 70, 110, 50, 50, 0, 'Ground', 'Steel', 'Sand Veil', 'Tangling Hair', 'None', 'Mole', '7', '666', 50, '5355', 70, '0,2,0,0,0,0', 'Ground', 'None', NULL, NULL, -14, 0, 'canon'),
(66, 51, 0, 'Dugtrio', '', 'Dugtrio ', '', 35, 100, 50, 50, 70, 120, 50, 50, 0, 'Ground', 'None', 'Sand Veil', 'Arena Trap', 'Sand Force', 'Mole', '7', '333', 50, '5355', 70, '0,0,0,0,0,2', 'Ground', 'None', NULL, NULL, 14, 0, 'canon'),
(67, 52, 1, 'Meowth', '(Alola)', 'Meowth (Alola)', '', 40, 35, 35, 50, 40, 90, 50, 50, 0, 'Dark', 'None', 'Pickup', 'Technician', 'None', 'Scratch Cat', '4', '42', 255, '5355', 70, '0,0,0,0,0,1', 'Ground', 'None', NULL, NULL, -14, 0, 'canon'),
(68, 52, 0, 'Meowth', '', 'Meowth ', '', 40, 45, 35, 40, 40, 90, 50, 50, 0, 'Normal', 'None', 'Pickup', 'Technician', 'Unnerve', 'Scratch Cat', '4', '42', 255, '5355', 70, '0,0,0,0,0,1', 'Ground', 'None', NULL, NULL, 11, 28, 'canon'),
(69, 53, 1, 'Persian', '(Alola)', 'Persian (Alola)', '', 65, 60, 60, 75, 65, 115, 50, 50, 0, 'Dark', 'None', 'Fur Coat', 'Technician', 'None', 'Classy Cat', '11', '330', 90, '5355', 70, '0,0,0,0,0,2', 'Ground', 'None', NULL, NULL, -14, 0, 'canon'),
(70, 53, 0, 'Persian', '', 'Persian ', '', 65, 70, 60, 65, 65, 115, 50, 50, 0, 'Normal', 'None', 'Limber', 'Technician', 'Unnerve', 'Classy Cat', '10', '320', 90, '5355', 70, '0,0,0,0,0,2', 'Ground', 'None', NULL, NULL, 3, 0, 'canon'),
(71, 54, 0, 'Psyduck', '', 'Psyduck ', '', 50, 52, 48, 65, 50, 55, 50, 50, 0, 'Water', 'None', 'Damp', 'Cloud Nine', 'Swift Swim', 'Duck', '8', '196', 190, '5355', 70, '0,0,0,1,0,0', 'Ground', 'Water1', NULL, NULL, 14, 33, 'canon'),
(72, 55, 0, 'Golduck', '', 'Golduck ', '', 80, 82, 78, 95, 80, 85, 50, 50, 0, 'Water', 'None', 'Damp', 'Cloud Nine', 'Swift Swim', 'Duck', '17', '766', 75, '5355', 70, '0,0,0,2,0,0', 'Ground', 'Water1', NULL, NULL, 5, 0, 'canon'),
(73, 56, 0, 'Mankey', '', 'Mankey ', '', 40, 80, 35, 35, 45, 70, 50, 50, 0, 'Fighting', 'None', 'Vital Spirit', 'Anger Point', 'Defiant', 'Pig Monkey', '5', '280', 190, '5355', 70, '0,1,0,0,0,0', 'Ground', 'None', NULL, NULL, 10, 28, 'canon'),
(74, 57, 0, 'Primeape', '', 'Primeape ', '', 65, 105, 60, 60, 70, 95, 50, 50, 0, 'Fighting', 'None', 'Vital Spirit', 'Anger Point', 'Defiant', 'Pig Monkey', '10', '320', 75, '5355', 70, '0,2,0,0,0,0', 'Ground', 'None', NULL, NULL, 7, 0, 'canon'),
(75, 58, 0, 'Growlithe', '', 'Growlithe ', '', 55, 70, 45, 70, 50, 60, 75, 25, 0, 'Fire', 'None', 'Intimidate', 'Flash Fire', 'Justified', 'Puppy', '7', '190', 190, '5355', 70, '0,1,0,0,0,0', 'Ground', 'None', NULL, NULL, 15, 0, 'canon'),
(76, 59, 0, 'Arcanine', '', 'Arcanine ', '', 90, 110, 80, 100, 80, 95, 75, 25, 0, 'Fire', 'None', 'Intimidate', 'Flash Fire', 'Justified', 'Legendary', '19', '1550', 75, '5355', 70, '0,2,0,0,0,0', 'Ground', 'None', NULL, NULL, -1, 0, 'canon'),
(77, 60, 0, 'Poliwag', '', 'Poliwag ', '', 40, 50, 40, 40, 40, 90, 50, 50, 0, 'Water', 'None', 'Water Absorb', 'Damp', 'Swift Swim', 'Tadpole', '6', '124', 255, '5355', 70, '0,0,0,0,0,1', 'Water1', 'None', NULL, NULL, 14, 25, 'canon'),
(78, 61, 0, 'Poliwhirl', '', 'Poliwhirl ', '', 65, 65, 65, 50, 50, 90, 50, 50, 0, 'Water', 'None', 'Water Absorb', 'Damp', 'Swift Swim', 'Tadpole', '10', '200', 120, '5355', 70, '0,0,0,0,0,2', 'Water1', 'None', NULL, NULL, 11, 0, 'canon'),
(79, 62, 0, 'Poliwrath', '', 'Poliwrath ', '', 90, 95, 95, 70, 90, 70, 50, 50, 0, 'Water', 'Fighting', 'Water Absorb', 'Damp', 'Swift Swim', 'Tadpole', '13', '540', 45, '5355', 70, '0,0,3,0,0,0', 'Water1', 'None', NULL, NULL, 6, 0, 'canon'),
(80, 63, 0, 'Abra', '', 'Abra ', '', 25, 20, 15, 105, 55, 90, 75, 25, 0, 'Psychic', 'None', 'Synchronize', 'Inner Focus', 'Magic Guard', 'Psi', '9', '195', 200, '5355', 70, '0,0,0,1,0,0', 'Human-like', 'None', NULL, NULL, 13, 16, 'canon'),
(81, 64, 0, 'Kadabra', '', 'Kadabra ', '', 40, 35, 30, 120, 70, 105, 75, 25, 0, 'Psychic', 'None', 'Synchronize', 'Inner Focus', 'Magic Guard', 'Psi', '13', '565', 100, '5355', 70, '0,0,0,2,0,0', 'Human-like', 'None', NULL, NULL, 5, 0, 'canon'),
(82, 65, 1, 'Alakazam', '(Mega)', 'Alakazam (Mega)', '', 55, 50, 65, 175, 105, 150, 75, 25, 0, 'Psychic', 'None', 'Trace', 'None', 'None', 'Psi', '12', '480', 50, '5355', 70, '0,0,0,3,0,0', 'Humanshape', 'None', NULL, NULL, -14, 0, 'canon'),
(83, 65, 0, 'Alakazam', '', 'Alakazam ', '', 55, 50, 45, 135, 95, 120, 75, 25, 0, 'Psychic', 'None', 'Synchronize', 'Inner Focus', 'Magic Guard', 'Psi', '15', '480', 50, '5355', 70, '0,0,0,3,0,0', 'Human-like', 'None', NULL, NULL, 1, 0, 'canon'),
